nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
753,"WEST ACTON",519373,181296,Central,"London Underground",Yes,,,,3,-0.280000,51.520000
754,"WESTBOURNE PARK",524901,181756,"Circle, Hammersmith & City","London Underground",Yes,,,,2,-0.200000,51.520000
755,"WEST BROMPTON",525381,178024,"District, London Overground","London Underground",Yes,,Yes,,2,-0.190000,51.490000
756,"WEST FINCHLEY",525546,191627,Northern,"London Underground",Yes,,,,4,-0.190000,51.610000
757,"WEST HAM",539131,182945,"District, DLR, Hammersmith & City, Jubilee","London Underground",Yes,,,Yes,"2,3",0.010000,51.530000
758,"WEST HAMPSTEAD LU",525592,184653,Jubilee,"London Underground",Yes,,,,2,-0.190000,51.550000
759,"WEST HARROW",514200,188029,Metropolitan,"London Underground",Yes,,,,5,-0.350000,51.580000
760,"WEST KENSINGTON",524685,178398,District,"London Underground",Yes,,,,2,-0.200000,51.490000
761,WESTMINSTER,530196,179668,"Circle, District, Jubilee","London Underground",Yes,,,,1,-0.120000,51.500000
762,"WEST RUISLIP",508379,186796,Central,"London Underground",Yes,,,,6,-0.440000,51.570000
763,WHITECHAPEL,534698,181851,"District, Hammersmith & City, London Overground, TfL Rail","London Underground",Yes,Yes,Yes,,2,-0.060000,51.520000
764,"WHITE CITY",523308,180748,Central,"London Underground",Yes,,,,2,-0.220000,51.510000
765,"WILLESDEN GREEN",523329,184883,Jubilee,"London Underground",Yes,,,,"2,3",-0.220000,51.550000
766,"WILLESDEN JUNCTION",521858,182960,"Bakerloo, London Overground","London Underground",Yes,,Yes,,"2,3",-0.240000,51.530000
767,WIMBLEDON,524800,170684,District,"London Underground",Yes,,,,3,-0.200000,51.420000
768,"WIMBLEDON PARK",525282,172100,District,"London Underground",Yes,,,,3,-0.200000,51.430000
769,WOODFORD,540950,191740,Central,"London Underground",Yes,,,,4,0.040000,51.610000
770,"WOOD GREEN",531015,190428,Piccadilly,"London Underground",Yes,,,,3,-0.110000,51.600000
771,"WOODSIDE PARK",525718,192588,Northern,"London Underground",Yes,,,,4,-0.180000,51.620000
773,"HAMMERSMITH (H&C)",523325,178698,"Circle, Hammersmith & City","London Underground",Yes,,,,2,-0.220000,51.490000
774,"EDGWARE ROAD (BAK)",527047,181759,Bakerloo,"London Underground",Yes,,,,1,-0.170000,51.520000
775,"SHEPHERD'S BUSH MARKET",523197,180064,"Circle, Hammersmith & City","London Underground",Yes,,,,2,-0.220000,51.510000
776,PIMLICO,529671,178333,Victoria,"London Underground",Yes,,,,1,-0.130000,51.490000
777,"VAUXHALL LU",530337,177973,Victoria,"London Underground",Yes,,,,"1,2",-0.120000,51.490000
778,"BRIXTON LU",531052,175429,Victoria,"London Underground",Yes,,,,2,-0.110000,51.460000
779,"HATTON CROSS",509608,175363,Piccadilly,"London Underground",Yes,,,,"5,6",-0.420000,51.470000
780,"HEATHROW TERMINALS 123 LU",507586,175840,Piccadilly,"London Underground",Yes,,,,6,-0.450000,51.470000
781,"HEATHROW TERMINAL 4 LU",508082,174430,Piccadilly,"London Underground",Yes,,,,6,-0.440000,51.460000
